community,year,BATTERY,ASSAULT,CRIM SEXUAL ASSAULT,BURGLARY,ROBBERY,WEAPONS VIOLATION,CRIMINAL TRESPASS,HOMICIDE,DECEPTIVE PRACTICE,KIDNAPPING,MOTOR VEHICLE THEFT,THEFT,NARCOTICS,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,PROSTITUTION,CRIMINAL DAMAGE,name,change_nx_yr
1,2012,-3,57,-9,-46,-49,30,21,2,-33,1,-33,-86,10,-3,2,25,-68,rogers park,25.5439394
1,2013,-125,-37,3,-25,-66,-17,7,-2,30,-2,-51,-36,-123,-2,9,-18,36,rogers park,19.00833333
1,2014,-72,-40,9,-6,-19,-16,-49,4,46,0,26,-185,-77,8,-21,16,-151,rogers park,21.47500000000001
1,2015,-119,-25,-1,-15,-11,-11,-18,-2,-2,-2,-4,27,-66,-8,7,-18,61,rogers park,10.349999999999994
1,2016,85,-4,3,17,53,5,10,-1,27,1,-1,60,-128,10,5,5,-43,rogers park,3.983333299999998
1,2017,-57,34,2,-1,9,2,46,-1,10,1,10,297,-23,-9,4,-12,183,rogers park,11.008333399999998
1,2018,28,15,-9,-8,-24,-7,-23,2,-44,-1,-19,-140,-5,3,12,-3,-116,rogers park,3.858333299999998
2,2012,-28,50,-7,-85,2,-15,-25,6,-21,2,-35,-67,-48,7,-8,11,-82,west ridge,16.225757580000007
2,2013,12,-27,-3,-88,9,10,24,-5,4,-4,-66,14,-14,-2,-3,-12,-50,west ridge,23.708333330000002
2,2014,-76,-23,1,17,-38,-2,-12,2,32,2,2,-184,-39,1,1,2,-54,west ridge,15.216666700000005
2,2015,-41,-36,-1,-39,-22,7,-20,1,-10,-3,-14,-125,-17,3,10,-1,-6,west ridge,0.9000000000000057
2,2016,0,35,7,-43,36,1,21,3,90,6,42,51,-71,1,1,-1,29,west ridge,4.325000000000003
2,2017,36,39,-3,-2,-12,-11,44,-5,11,-2,28,181,-37,-6,2,1,22,west ridge,17.366666600000002
2,2018,29,22,0,66,18,9,-47,4,-15,-1,-21,-104,0,0,-11,-2,-42,west ridge,4.5
3,2012,63,-38,-15,-10,-5,11,0,0,-2,0,67,82,38,13,7,0,52,uptown,14.392424200000022
3,2013,-66,33,4,-85,-17,-21,12,-4,39,-1,-80,-208,-253,1,-8,-3,-79,uptown,12.483333399999964
3,2014,-57,-65,-1,-18,-18,-2,31,4,-33,-1,-85,-173,42,-10,4,-2,-38,uptown,1.625
3,2015,61,24,7,5,10,0,-37,8,59,2,50,-83,-238,13,-6,0,-5,uptown,16.966666600000025
3,2016,5,16,-3,17,29,4,-18,-5,26,-1,-47,129,-170,-11,3,-2,-19,uptown,4.800000000000011
3,2017,-16,23,21,24,-41,-2,-7,-3,43,0,-2,-47,-46,-3,6,1,12,uptown,9.274999999999977
3,2018,51,-18,-7,15,3,4,18,-3,-11,0,17,18,-4,5,-2,-1,-16,uptown,-10.699999999999989
4,2012,38,24,-4,41,11,2,-3,-1,-7,-2,0,30,-42,7,-2,-2,-16,lincoln square,23.534090900000024
4,2013,0,-13,-2,-47,-9,-4,0,2,14,1,-44,-11,-50,7,4,0,24,lincoln square,29.524999999999977
4,2014,-27,-24,4,-44,-15,2,-10,-2,34,1,-32,-180,43,-2,4,0,-63,lincoln square,0.05833330000001524
4,2015,-38,12,-3,-34,12,1,12,1,2,-3,-9,-8,-25,4,-7,1,-6,lincoln square,3.7750000000000057
4,2016,7,-3,11,28,10,7,6,0,107,3,21,27,-37,-8,-5,-2,12,lincoln square,7.541666699999979
4,2017,-8,29,1,-8,11,-8,13,0,-30,-2,7,85,-9,-2,2,0,-49,lincoln square,12.491666699999996
4,2018,36,-12,-2,20,-24,0,-15,1,-18,-2,-9,-62,3,-1,6,0,5,lincoln square,0.5166666000000362
5,2012,-1,-5,-9,-24,12,0,-8,0,-22,0,11,54,12,12,-3,-2,-19,north center,17.310606000000007
5,2013,-47,-15,-1,-75,-3,2,-8,1,-3,-1,-20,-2,-28,-6,1,1,27,north center,4.770833399999987
5,2014,-7,1,3,-18,-17,-4,1,-1,32,-1,-41,-133,-10,3,0,0,16,north center,12.204166600000008
5,2015,-5,-1,-2,-61,19,-1,-1,0,16,0,-4,-27,7,-2,2,-1,-76,north center,20.429166699999996
5,2016,-16,6,0,17,5,4,0,0,74,1,0,-47,-10,-8,-7,0,-14,north center,2.0749999999999886
5,2017,-7,1,4,17,4,-1,4,0,-24,-1,0,63,-10,9,4,0,-39,north center,-12.099999999999966
5,2018,19,2,-6,-23,-17,-1,2,1,-48,2,-17,-17,-6,-7,4,1,-1,north center,-11.245833300000015
6,2012,29,11,2,168,29,6,10,1,-71,1,12,-7,12,4,7,-19,31,lake view,19.04772729999999
6,2013,-73,-44,-4,-318,10,-14,2,-3,122,0,-51,-232,-88,1,-13,-9,-129,lake view,12.78333330000001
6,2014,-191,-12,12,-27,-122,3,-17,0,-53,-1,-152,-484,-45,2,1,3,-48,lake view,10.21666669999999
6,2015,56,20,11,-61,-39,0,5,1,17,0,41,-25,-40,0,1,-5,-53,lake view,6.324999999999989
6,2016,46,-10,-3,110,75,7,-12,0,233,1,13,-21,-57,2,-1,1,78,lake view,12.683333300000015
6,2017,-58,11,10,-90,-33,-9,-16,-1,4,-2,3,112,-32,-3,4,0,-192,lake view,6.083333400000015
6,2018,36,47,4,6,-45,1,50,1,-19,1,3,58,0,-2,5,-2,24,lake view,-7.933333399999981
7,2012,-21,6,7,133,-12,2,20,-2,-44,-2,-15,-258,3,-1,-11,-2,-19,lincoln park,19.46742420000004
7,2013,-6,-27,-8,-266,-9,3,-29,0,43,0,-48,-115,-31,-2,15,1,-47,lincoln park,24.641666699999973
7,2014,-13,11,4,-95,-31,0,2,1,-13,1,-74,-140,-9,0,1,-1,-47,lincoln park,6.0416667000000075
7,2015,-37,-41,5,11,18,-1,-26,-1,24,-1,-27,-229,-12,6,0,-1,13,lincoln park,4.316666600000019
7,2016,11,27,7,43,18,0,27,0,181,-1,34,202,-21,-3,-13,0,-35,lincoln park,14.925000000000011
7,2017,24,30,-1,-46,14,0,-29,1,-21,5,32,282,1,-5,6,0,-34,lincoln park,6.458333399999958
7,2018,-13,55,-8,70,18,7,46,0,-16,-5,-16,257,-7,3,18,1,72,lincoln park,-4.0416667000000075
8,2012,45,-50,8,46,-83,-3,-71,2,-70,5,-114,474,-124,13,-9,-33,62,near north side,35.825000000000045
8,2013,-156,8,3,-15,-70,-1,124,0,-83,-4,23,-649,-68,-9,8,-21,-235,near north side,21.141666699999973
8,2014,14,1,0,-85,-21,3,-161,0,-61,-2,-8,-792,-22,3,-4,10,28,near north side,5.4583332999999925
8,2015,-138,11,11,25,28,-2,-62,-4,100,8,2,135,42,-15,-2,-13,18,near north side,3.025000000000034
8,2016,183,42,37,19,90,10,-102,4,373,-5,141,689,-136,7,9,-55,146,near north side,11.91666669999995
8,2017,151,84,10,39,120,-11,106,0,210,1,43,990,16,5,5,-13,-22,near north side,2.2250000000000227
8,2018,182,91,3,-28,-31,15,-4,0,232,3,-12,237,-8,-4,10,0,-27,near north side,-8.291666700000007
9,2012,-11,-3,0,-13,4,0,0,0,-3,0,1,-12,2,1,2,0,-15,edison park,9.821969700000011
9,2013,-8,-3,-1,-6,-3,0,0,0,-3,-1,-2,4,-2,1,2,0,-2,edison park,31.92500000000001
9,2014,-22,0,1,2,0,0,-1,0,6,0,-3,-18,-1,-2,-3,0,-15,edison park,-9.141666600000008
9,2015,15,7,0,-1,0,1,-6,0,11,0,6,-11,1,5,-1,0,-6,edison park,-7.608333399999992
9,2016,-9,9,0,4,3,-1,1,0,3,0,3,23,-3,-4,1,0,13,edison park,16.00833339999997
9,2017,5,-7,2,-15,-1,1,5,0,-10,1,-3,-3,0,0,2,1,-10,edison park,2.6166666000000305
9,2018,18,-3,-3,8,-2,-1,-1,0,-5,-1,4,-15,-1,-1,-3,-1,-4,edison park,-12.025000000000006
10,2012,21,15,0,-40,-2,2,5,1,-6,1,-3,51,9,5,0,3,-31,norwood park,23.39621219999998
10,2013,-19,-28,3,-22,-13,4,-12,-1,-16,-1,-3,-71,12,2,0,-3,-67,norwood park,26.125
10,2014,-13,7,-1,15,9,-6,14,1,44,1,-7,-40,5,-6,-3,10,14,norwood park,-4.274999999999977
10,2015,-17,10,1,4,-4,3,7,-1,12,-2,-5,8,-10,2,5,-6,12,norwood park,7.674999999999983
10,2016,12,-6,-4,2,6,-4,-8,1,38,4,18,18,-24,-2,-7,-4,7,norwood park,7.016666600000036
10,2017,-15,3,7,-26,-1,4,-7,0,-14,0,-11,-81,-7,-3,5,2,-57,norwood park,-0.7583333000000323
10,2018,7,25,-7,6,-4,-1,18,-1,-32,-1,16,51,0,-3,-1,-2,-3,norwood park,-4.625
11,2012,29,4,1,4,10,2,12,-2,-34,2,10,86,4,-2,1,1,14,jefferson park,17.15454550000001
11,2013,-20,1,-2,-23,0,2,14,1,4,-2,-18,-19,39,7,-2,0,-67,jefferson park,12.691666699999985
11,2014,-6,3,0,-10,-6,4,-8,0,18,1,-4,-18,-35,-10,6,-1,-8,jefferson park,7.933333300000015
11,2015,-14,-11,1,-21,3,-6,-10,0,21,3,-11,-34,4,7,0,0,-11,jefferson park,11.924999999999983
11,2016,-26,23,0,-7,-1,-2,-5,0,8,2,3,-2,-41,-14,0,0,0,jefferson park,7.708333300000021
11,2017,9,-9,5,-17,-5,1,-8,0,21,-5,4,-27,0,2,-4,1,-5,jefferson park,9.208333399999987
11,2018,1,19,1,5,0,0,25,0,-30,1,2,26,-8,3,1,-1,0,jefferson park,-3.4000000000000057
12,2012,-20,3,-1,-5,-3,0,2,0,12,1,6,44,-5,-4,-1,0,-33,forest glen,-14.1875
12,2013,-7,-7,0,-24,2,2,-5,0,-13,1,-1,-57,-3,-1,0,0,-20,forest glen,30.662499999999994
12,2014,-1,4,0,-4,-3,0,2,0,30,-1,-14,-12,-3,1,0,0,13,forest glen,1.1750000000000114
12,2015,14,2,1,-21,1,-2,10,0,-13,-1,6,14,1,3,-1,1,-21,forest glen,-11.270833300000021
12,2016,6,8,-2,25,4,1,5,0,15,0,15,21,-1,-3,2,-1,16,forest glen,10.11666660000003
12,2017,-13,5,3,-29,1,3,3,0,12,1,-5,12,-3,1,0,0,-14,forest glen,-1.8375000000000057
12,2018,-8,-13,1,6,-3,-3,-2,0,-10,-1,4,-3,-4,-1,0,0,-15,forest glen,-20.008333300000004
13,2012,5,-16,2,16,-9,1,-4,-1,9,2,-1,32,3,-3,-3,0,-64,north park,-0.29621219999998516
13,2013,-13,13,1,-69,-3,-4,-5,0,-8,-1,-23,-32,-14,10,8,0,-12,north park,15.30833339999998
13,2014,-18,-3,-1,13,-1,5,-2,0,20,1,1,-25,1,-11,-6,-2,-1,north park,13.958333299999993
13,2015,14,-12,1,-16,4,-5,1,0,6,-2,-7,-25,0,8,-2,2,9,north park,11.933333300000015
13,2016,18,16,-2,-16,8,3,1,1,36,0,4,61,-6,1,1,-2,-5,north park,4.583333399999987
13,2017,4,4,0,-3,-5,-2,15,0,-34,1,22,16,-13,-6,4,1,-15,north park,5.066666600000019
13,2018,-5,-1,6,11,2,6,-3,1,27,-1,-12,-18,-5,2,-1,-1,15,north park,-9.775000000000006
14,2012,20,-15,-4,-42,-13,9,-26,3,-17,2,10,38,-34,-7,-5,1,-49,albany park,22.306060569999985
14,2013,-55,-7,-1,-76,11,-18,-2,-1,14,1,-44,-28,-23,14,6,6,-35,albany park,20.958333400000015
14,2014,-65,5,3,-28,-31,7,4,-2,26,0,-61,-83,-15,-12,-3,11,-27,albany park,24.858333299999998
14,2015,60,27,4,35,-24,2,5,3,-4,-1,28,44,-34,0,2,-21,41,albany park,5.941666699999985
14,2016,-42,-27,3,-51,96,-6,-16,-2,38,0,0,14,-74,4,1,-4,-34,albany park,9.875
14,2017,-24,-20,-3,22,-22,6,2,-2,-9,-1,31,129,-18,2,10,0,-60,albany park,2.7583333000000323
14,2018,51,27,-5,2,-12,8,9,3,7,1,-39,-135,5,-13,-12,0,43,albany park,6.941666699999985
15,2012,-39,-45,1,-82,6,-1,-1,2,26,1,33,22,-30,-6,2,1,-63,portage park,13.342424199999982
