community_area,year,count
1,2011,5123
1,2012,4925
1,2013,4433
1,2014,3804
1,2015,3591
1,2016,3671
1,2017,4148
1,2018,3802
2,2011,4424
2,2012,4031
2,2013,3811
2,2014,3413
2,2015,3111
2,2016,3287
2,2017,3592
2,2018,3518
3,2011,4777
3,2012,4977
3,2013,4290
3,2014,3815
3,2015,3663
3,2016,3567
3,2017,3567
3,2018,3630
4,2011,2315
4,2012,2339
4,2013,2219
4,2014,1898
4,2015,1770
4,2016,1990
4,2017,1999
4,2018,1931
5,2011,1948
5,2012,1920
5,2013,1724
5,2014,1541
5,2015,1395
5,2016,1403
5,2017,1426
5,2018,1323
6,2011,7528
6,2012,7696
6,2013,6824
6,2014,5698
6,2015,5590
6,2016,6081
6,2017,5747
6,2018,5932
7,2011,5284
7,2012,5010
7,2013,4480
7,2014,4091
7,2015,3764
7,2016,4247
7,2017,4476
7,2018,4996
8,2011,11230
8,2012,11288
8,2013,10116
8,2014,8991
8,2015,9076
8,2016,10562
8,2017,12310
8,2018,13063
9,2011,369
9,2012,323
9,2013,299
9,2014,244
9,2015,258
9,2016,307
9,2017,275
9,2018,253
10,2011,1449
10,2012,1465
10,2013,1231
10,2014,1253
10,2015,1278
10,2016,1322
10,2017,1104
10,2018,1171
11,2011,1300
11,2012,1410
11,2013,1336
11,2014,1230
11,2015,1157
11,2016,1073
11,2017,1060
11,2018,1097
12,2011,605
12,2012,601
12,2013,443
12,2014,461
12,2015,450
12,2016,574
12,2017,548
12,2018,494
13,2011,1116
13,2012,1082
13,2013,917
13,2014,873
13,2015,843
13,2016,974
13,2017,968
13,2018,999
14,2011,3097
14,2012,2945
14,2013,2692
14,2014,2403
14,2015,2536
14,2016,2418
14,2017,2481
14,2018,2417
15,2011,4391
15,2012,4160
15,2013,3975
15,2014,3390
15,2015,3453
15,2016,3248
15,2017,3370
15,2018,3198
16,2011,4310
16,2012,3939
16,2013,3492
16,2014,2853
16,2015,3019
16,2016,2991
16,2017,3008
16,2018,2819
17,2011,2160
17,2012,1930
17,2013,1832
17,2014,1569
17,2015,1660
17,2016,1755
17,2017,1516
17,2018,1500
18,2011,851
18,2012,781
18,2013,634
18,2014,525
18,2015,587
18,2016,671
18,2017,608
18,2018,599
19,2011,6875
19,2012,6368
19,2013,5710
19,2014,4973
19,2015,4839
19,2016,4778
19,2017,4605
19,2018,4361
20,2011,2061
20,2012,2052
20,2013,1967
20,2014,1792
20,2015,1732
20,2016,1557
20,2017,1505
20,2018,1397
21,2011,3373
21,2012,3276
21,2013,2674
21,2014,2370
21,2015,2263
21,2016,2285
21,2017,2348
21,2018,2332
22,2011,7333
22,2012,6799
22,2013,5858
22,2014,5101
22,2015,4805
22,2016,5469
22,2017,5069
22,2018,4913
23,2011,11156
23,2012,11216
23,2013,10257
23,2014,9227
23,2015,8200
23,2016,8018
23,2017,8056
23,2018,8048
24,2011,10143
24,2012,9687
24,2013,8213
24,2014,7346
24,2015,7084
24,2016,8246
24,2017,8324
24,2018,7308
25,2011,22722
25,2012,21357
25,2013,20245
25,2014,18796
25,2015,17387
25,2016,16745
25,2017,15386
25,2018,15055
26,2011,6282
26,2012,6676
26,2013,6678
26,2014,6219
26,2015,6029
26,2016,5782
26,2017,5368
26,2018,5669
27,2011,6415
27,2012,6190
27,2013,6281
27,2014,5813
27,2015,5448
27,2016,5042
27,2017,4761
27,2018,4907
28,2011,9670
28,2012,9417
28,2013,8512
28,2014,7902
28,2015,7950
28,2016,9473
28,2017,9052
28,2018,9405
29,2011,10011
29,2012,10391
29,2013,9798
29,2014,8713
29,2015,8411
29,2016,8796
29,2017,9066
29,2018,9329
30,2011,6020
30,2012,5782
30,2013,5108
30,2014,4771
30,2015,4452
30,2016,4694
30,2017,4535
30,2018,4544
31,2011,3447
31,2012,3297
31,2013,3078
31,2014,2710
31,2015,2528
31,2016,2625
31,2017,2627
31,2018,2386
32,2011,7607
32,2012,7777
32,2013,7791
32,2014,7294
32,2015,7595
32,2016,9028
32,2017,10624
32,2018,10862
33,2011,1768
33,2012,1864
33,2013,1812
33,2014,1780
33,2015,1884
33,2016,1947
33,2017,1938
33,2018,1857
34,2011,1442
34,2012,1539
34,2013,1293
34,2014,1224
34,2015,1084
34,2016,1011
34,2017,1020
34,2018,1015
35,2011,2701
35,2012,2775
35,2013,2790
35,2014,2566
35,2015,2523
35,2016,2616
35,2017,2625
35,2018,2711
36,2011,796
36,2012,771
36,2013,713
36,2014,643
36,2015,632
36,2016,700
36,2017,680
36,2018,664
37,2011,1189
37,2012,1225
37,2013,1078
37,2014,932
37,2015,842
37,2016,926
37,2017,880
37,2018,836
38,2011,4745
38,2012,4121
38,2013,4001
38,2014,3503
38,2015,3153
38,2016,3304
38,2017,3451
38,2018,3242
39,2011,2074
39,2012,1795
