community_area,year,primary_type,count
1,2010,ARSON,6
1,2010,ASSAULT,367
1,2010,BATTERY,983
1,2010,BURGLARY,305
1,2010,CRIM SEXUAL ASSAULT,21
1,2010,CRIMINAL DAMAGE,628
1,2010,CRIMINAL TRESPASS,189
1,2010,DECEPTIVE PRACTICE,196
1,2010,GAMBLING,11
1,2010,HOMICIDE,3
1,2010,INTERFERENCE WITH PUBLIC OFFICER,17
1,2010,INTIMIDATION,1
1,2010,LIQUOR LAW VIOLATION,12
1,2010,MOTOR VEHICLE THEFT,184
1,2010,NARCOTICS,646
1,2010,OBSCENITY,2
1,2010,OFFENSE INVOLVING CHILDREN,30
1,2010,OTHER OFFENSE,385
1,2010,PROSTITUTION,30
1,2010,PUBLIC PEACE VIOLATION,53
1,2010,ROBBERY,259
1,2010,SEX OFFENSE,26
1,2010,STALKING,2
1,2010,THEFT,1171
1,2010,WEAPONS VIOLATION,50
1,2011,ARSON,7
1,2011,ASSAULT,283
1,2011,BATTERY,994
1,2011,BURGLARY,258
1,2011,CRIM SEXUAL ASSAULT,26
1,2011,CRIMINAL DAMAGE,568
1,2011,CRIMINAL TRESPASS,162
1,2011,DECEPTIVE PRACTICE,192
1,2011,GAMBLING,9
1,2011,HOMICIDE,4
1,2011,INTERFERENCE WITH PUBLIC OFFICER,21
1,2011,INTIMIDATION,3
1,2011,KIDNAPPING,3
1,2011,LIQUOR LAW VIOLATION,14
1,2011,MOTOR VEHICLE THEFT,175
1,2011,NARCOTICS,475
1,2011,OBSCENITY,2
1,2011,OFFENSE INVOLVING CHILDREN,29
1,2011,OTHER OFFENSE,384
1,2011,PROSTITUTION,5
1,2011,PUBLIC PEACE VIOLATION,54
1,2011,ROBBERY,251
1,2011,SEX OFFENSE,22
1,2011,STALKING,4
1,2011,THEFT,1135
1,2011,WEAPONS VIOLATION,43
1,2012,ARSON,5
1,2012,ASSAULT,340
1,2012,BATTERY,991
1,2012,BURGLARY,212
1,2012,CRIM SEXUAL ASSAULT,17
1,2012,CRIMINAL DAMAGE,500
1,2012,CRIMINAL TRESPASS,183
1,2012,DECEPTIVE PRACTICE,159
1,2012,GAMBLING,6
1,2012,HOMICIDE,6
1,2012,INTERFERENCE WITH PUBLIC OFFICER,33
1,2012,INTIMIDATION,4
1,2012,KIDNAPPING,4
1,2012,LIQUOR LAW VIOLATION,21
1,2012,MOTOR VEHICLE THEFT,142
1,2012,NARCOTICS,485
1,2012,OBSCENITY,1
1,2012,OFFENSE INVOLVING CHILDREN,26
1,2012,OTHER OFFENSE,361
1,2012,PROSTITUTION,30
1,2012,PUBLIC PEACE VIOLATION,48
1,2012,ROBBERY,202
1,2012,SEX OFFENSE,24
1,2012,STALKING,3
1,2012,THEFT,1049
1,2012,WEAPONS VIOLATION,73
1,2013,ARSON,5
1,2013,ASSAULT,303
1,2013,BATTERY,866
1,2013,BURGLARY,187
1,2013,CRIM SEXUAL ASSAULT,20
1,2013,CRIMINAL DAMAGE,536
1,2013,CRIMINAL TRESPASS,190
1,2013,DECEPTIVE PRACTICE,189
1,2013,HOMICIDE,4
1,2013,INTERFERENCE WITH PUBLIC OFFICER,27
1,2013,INTIMIDATION,2
1,2013,KIDNAPPING,2
1,2013,LIQUOR LAW VIOLATION,11
1,2013,MOTOR VEHICLE THEFT,91
1,2013,NARCOTICS,362
1,2013,OFFENSE INVOLVING CHILDREN,24
1,2013,OTHER OFFENSE,322
1,2013,PROSTITUTION,12
1,2013,PUBLIC PEACE VIOLATION,40
1,2013,ROBBERY,136
1,2013,SEX OFFENSE,33
1,2013,STALKING,2
1,2013,THEFT,1013
1,2013,WEAPONS VIOLATION,56
1,2014,ARSON,1
1,2014,ASSAULT,263
1,2014,BATTERY,794
1,2014,BURGLARY,181
1,2014,CRIM SEXUAL ASSAULT,29
1,2014,CRIMINAL DAMAGE,385
1,2014,CRIMINAL TRESPASS,141
1,2014,DECEPTIVE PRACTICE,235
1,2014,HOMICIDE,8
1,2014,INTERFERENCE WITH PUBLIC OFFICER,20
1,2014,INTIMIDATION,1
1,2014,KIDNAPPING,2
1,2014,LIQUOR LAW VIOLATION,8
1,2014,MOTOR VEHICLE THEFT,117
1,2014,NARCOTICS,285
1,2014,NON-CRIMINAL,1
1,2014,OFFENSE INVOLVING CHILDREN,32
1,2014,OTHER OFFENSE,252
1,2014,PROSTITUTION,28
1,2014,PUBLIC PEACE VIOLATION,22
1,2014,ROBBERY,117
1,2014,SEX OFFENSE,12
1,2014,STALKING,2
1,2014,THEFT,828
1,2014,WEAPONS VIOLATION,40
1,2015,ARSON,4
1,2015,ASSAULT,238
1,2015,BATTERY,675
1,2015,BURGLARY,166
1,2015,CRIM SEXUAL ASSAULT,28
1,2015,CRIMINAL DAMAGE,446
1,2015,CRIMINAL TRESPASS,123
1,2015,DECEPTIVE PRACTICE,233
1,2015,GAMBLING,2
1,2015,HOMICIDE,6
1,2015,INTERFERENCE WITH PUBLIC OFFICER,15
1,2015,INTIMIDATION,1
1,2015,LIQUOR LAW VIOLATION,6
1,2015,MOTOR VEHICLE THEFT,113
1,2015,NARCOTICS,219
1,2015,OFFENSE INVOLVING CHILDREN,24
1,2015,OTHER OFFENSE,242
1,2015,PROSTITUTION,10
1,2015,PUBLIC PEACE VIOLATION,28
1,2015,ROBBERY,106
1,2015,SEX OFFENSE,19
1,2015,STALKING,3
1,2015,THEFT,855
1,2015,WEAPONS VIOLATION,29
1,2016,ARSON,2
1,2016,ASSAULT,234
1,2016,BATTERY,760
1,2016,BURGLARY,183
1,2016,CRIM SEXUAL ASSAULT,31
1,2016,CRIMINAL DAMAGE,403
1,2016,CRIMINAL TRESPASS,133
