community,year,BATTERY,NARCOTICS,MOTOR VEHICLE THEFT,BURGLARY,DECEPTIVE PRACTICE,ASSAULT,CRIMINAL TRESPASS,ROBBERY,CRIMINAL DAMAGE,THEFT,name,price_nx_yr,svr,tree
1,2011,994,475,175,258,192,283,162,251,568,1135,rogers park,69.37272727,116.1676661906087,84.81666667
1,2012,991,485,142,212,159,340,183,202,500,1049,rogers park,94.91666667,74.54183321718226,124.3818182
1,2013,866,362,91,187,189,303,190,136,536,1013,rogers park,113.925,151.93645388843942,84.81666667
1,2014,794,285,117,181,235,263,141,117,385,828,rogers park,135.4,114.189729722085,135.4
1,2015,675,219,113,166,233,238,123,106,446,855,rogers park,145.75,197.960187456759,135.4
1,2016,760,91,112,183,260,234,133,159,403,915,rogers park,149.7333333,174.2890977380295,83.03333333
1,2017,703,68,122,182,270,268,179,168,586,1212,rogers park,160.7416667,357.0310052771958,213.2333333
1,2018,731,63,103,174,226,283,156,144,470,1072,rogers park,164.6,200.07775388100634,213.2333333
2,2011,686,278,236,433,193,204,93,140,626,1045,west ridge,68.59090909,203.56454895735004,37.49090909
2,2012,658,230,201,348,172,254,68,142,544,978,west ridge,84.81666667,101.47821650496842,84.81666667
2,2013,670,216,135,260,176,227,92,151,494,992,west ridge,108.525,133.07134779714323,84.81666667
2,2014,594,177,137,277,208,204,80,113,440,808,west ridge,123.7416667,165.3799449541686,120.03333329999998
2,2015,553,160,123,238,198,168,60,91,434,683,west ridge,124.64166670000002,185.11550174989605,114.03333329999998
2,2016,553,89,165,195,288,203,81,127,463,734,west ridge,128.96666670000002,250.13502998811526,201.4333333
2,2017,589,52,193,193,299,242,125,115,485,915,west ridge,146.33333330000005,317.22209171684443,53.29166667
2,2018,618,52,172,259,284,264,78,133,443,811,west ridge,150.83333330000005,196.69781881083253,150.83333330000005
3,2011,673,697,203,227,268,282,137,145,395,1268,uptown,153.6909091,29.38018943632703,84.81666667
3,2012,736,735,270,217,266,244,137,140,447,1350,uptown,168.08333330000005,87.54553189697542,141.65
3,2013,670,482,190,132,305,277,149,123,368,1142,uptown,180.5666667,179.08832531579463,84.81666667
3,2014,613,524,105,114,272,212,180,105,330,969,uptown,182.1916667,166.91752559182277,129.3
3,2015,674,286,155,119,331,236,143,115,325,886,uptown,199.1583333,171.3962218489607,134.9916667
3,2016,679,116,108,136,357,252,125,144,306,1015,uptown,203.9583333,157.2260192384121,83.03333333
3,2017,663,70,106,160,400,275,118,103,318,968,uptown,213.2333333,213.3478083297661,213.2333333
3,2018,714,66,123,175,389,257,136,106,302,986,uptown,202.5333333,190.92326817940847,77.87916667
4,2011,316,153,143,173,104,100,52,43,298,673,lincoln square,174.3909091,154.90679350918725,127.975
4,2012,354,111,143,214,97,124,49,54,282,703,lincoln square,197.925,120.84433765939973,197.925
4,2013,354,61,99,167,111,111,49,45,306,692,lincoln square,227.45,170.14393843227953,251.8333333
4,2014,327,104,67,123,145,87,39,30,243,512,lincoln square,227.5083333,158.2877072270923,251.8333333
4,2015,289,79,58,89,147,99,51,42,237,504,lincoln square,231.2833333,165.05820002593026,251.8333333
4,2016,296,42,79,117,254,96,57,52,249,531,lincoln square,238.825,227.02268371430472,183.65
4,2017,288,33,86,109,224,125,70,63,200,616,lincoln square,251.3166667,177.12783245642566,200.7666667
4,2018,324,36,77,129,206,113,55,39,205,554,lincoln square,251.8333333,172.40577034805682,251.8333333
5,2011,197,58,112,270,113,73,54,32,230,629,north center,231.2227273,146.8247712376462,251.8333333
5,2012,196,70,123,246,91,68,46,44,211,683,north center,248.5333333,111.19926843060891,160.87916669999996
5,2013,149,42,103,171,88,53,38,41,238,681,north center,253.3041667,152.22845340835482,65.28333333
5,2014,142,32,62,153,120,54,39,24,254,548,north center,265.5083333,190.10202950670936,251.8333333
5,2015,137,39,58,92,136,53,38,43,178,521,north center,285.9375,160.77587800329928,251.8333333
5,2016,121,29,58,109,210,59,38,48,164,474,north center,288.0125,180.0593662048006,142.54166669999995
5,2017,114,19,58,126,186,60,42,52,125,537,north center,275.9125,138.77885196187634,142.54166669999995
5,2018,133,13,41,103,138,62,44,35,124,520,north center,264.6666667,131.01990805528766,251.8333333
6,2011,950,289,341,537,514,234,198,317,714,2919,lake view,220.5272727,220.56525432264533,220.5272727
6,2012,979,301,353,705,443,245,208,346,745,2912,lake view,239.575,-91.6800359566267,220.5272727
6,2013,906,213,302,387,565,201,210,356,616,2680,lake view,252.3583333,375.84145448122507,220.5272727
6,2014,715,168,150,360,512,189,193,234,568,2196,lake view,262.575,478.95301353993926,131.1545455
6,2015,771,128,191,299,529,209,198,195,515,2171,lake view,268.9,562.6501608663085,83.03333333
6,2016,817,71,204,409,762,199,186,270,593,2150,lake view,281.5833333,858.7607205440137,83.03333333
6,2017,759,39,207,319,766,210,170,237,401,2262,lake view,287.6666667,422.1586729218099,53.29166667
6,2018,795,39,210,325,747,257,220,192,425,2320,lake view,279.7333333,582.1498947414067,53.29166667
7,2011,417,99,274,430,328,129,119,150,559,2497,lincoln park,266.8909091,266.77456150679717,266.8909091
7,2012,396,102,259,563,284,135,139,138,540,2239,lincoln park,286.3583333,152.9957983774795,342.7416667
7,2013,390,71,211,297,327,108,110,129,493,2124,lincoln park,311.0,439.2402422335428,342.7416667
7,2014,377,62,137,202,314,119,112,98,446,1984,lincoln park,317.0416667,463.59615921981384,342.7416667
7,2015,340,50,110,213,338,78,86,116,459,1755,lincoln park,321.3583333,487.49630723458466,342.7416667
7,2016,351,29,144,256,519,105,113,134,424,1957,lincoln park,336.2833333000001,619.8713241810175,342.7416667
7,2017,375,30,176,210,498,135,84,148,390,2239,lincoln park,342.7416667,342.44636840563834,342.7416667
7,2018,362,23,160,280,482,190,130,166,462,2496,lincoln park,338.7,300.3108617119571,266.8909091
8,2011,1289,430,250,212,1324,365,524,350,639,5048,near north side,288.4,1859.915942214938,220.5272727
8,2012,1334,306,136,258,1254,315,453,267,701,5522,near north side,324.225,1554.7500836169777,220.5272727
8,2013,1178,238,159,243,1171,323,577,197,466,4873,near north side,345.3666667,1534.146543777125,220.5272727
8,2014,1192,216,151,158,1110,324,416,176,494,4081,near north side,350.825,1387.2331988648941,220.5272727
8,2015,1054,258,153,183,1210,335,354,204,512,4216,near north side,353.85,1244.6227757704175,220.5272727
8,2016,1237,122,294,202,1583,377,252,294,658,4905,near north side,365.7666667,2053.4984714924785,266.8909091
8,2017,1388,138,337,241,1793,461,358,414,636,5895,near north side,367.9916667,1300.2412211066542,266.8909091
8,2018,1570,130,325,213,2025,552,354,383,609,6131,near north side,359.7,1296.722178710202,266.8909091
9,2011,75,5,7,33,30,17,13,0,71,82,edison park,186.5363636,110.66026440076182,40.1
9,2012,64,7,8,20,27,14,13,4,56,70,edison park,196.3583333,108.59288622071965,40.1
9,2013,56,5,6,14,24,11,13,1,54,74,edison park,228.2833333,109.27477888166065,40.1
9,2014,34,4,3,16,30,11,12,1,39,56,edison park,219.1416667,108.36125879135447,40.1
9,2015,49,5,9,15,41,18,6,1,33,45,edison park,211.5333333,107.4006929331121,179.1
9,2016,40,2,12,19,44,27,7,4,46,68,edison park,227.5416667,108.7645595603572,179.1
